Year;CO2 [ppm];ndepo [kgN/ha/yr];pdepo [kgP/ha/yr]
1850;284.7;1.43;0.144
1851;284.9;1.43;0.144
1852;285;1.43;0.144
1853;285.1;1.43;0.144
1854;285.3;1.43;0.144
1855;285.4;1.43;0.144
1856;285.6;1.43;0.144
1857;285.7;1.44;0.144
1858;285.9;1.44;0.144
1859;286.1;1.44;0.144
1860;286.2;1.44;0.144
1861;286.4;1.46;0.144
1862;286.5;1.47;0.144
1863;286.6;1.49;0.144
1864;286.8;1.51;0.145
1865;286.9;1.52;0.145
1866;287;1.54;0.145
1867;287.1;1.56;0.145
1868;287.2;1.57;0.145
1869;287.4;1.59;0.145
1870;287.5;1.61;0.145
1871;287.7;1.6;0.145
1872;287.9;1.59;0.145
1873;288.1;1.59;0.145
1874;288.4;1.58;0.145
1875;288.7;1.57;0.145
1876;289;1.57;0.145
1877;289.4;1.56;0.145
1878;289.8;1.55;0.145
1879;290.2;1.55;0.145
1880;290.7;1.54;0.146
1881;291.2;1.55;0.146
1882;291.7;1.56;0.146
1883;292.1;1.57;0.146
1884;292.6;1.58;0.146
1885;293;1.59;0.146
1886;293.3;1.6;0.146
1887;293.6;1.61;0.146
1888;293.8;1.62;0.146
1889;294;1.63;0.146
1890;294.2;1.65;0.146
1891;294.3;1.65;0.146
1892;294.5;1.65;0.146
1893;294.6;1.65;0.146
1894;294.7;1.66;0.146
1895;294.8;1.66;0.146
1896;294.9;1.66;0.147
1897;295;1.67;0.147
1898;295.2;1.67;0.147
1899;295.5;1.67;0.147
1900;295.8;1.68;0.147
1901;296.1;1.69;0.147
1902;296.5;1.7;0.147
1903;296.8;1.71;0.147
1904;297.2;1.72;0.147
1905;297.6;1.73;0.147
1906;298.1;1.74;0.147
1907;298.5;1.75;0.147
1908;298.9;1.76;0.147
1909;299.3;1.77;0.147
1910;299.7;1.78;0.147
1911;300.1;1.78;0.147
1912;300.4;1.78;0.148
1913;300.8;1.77;0.148
1914;301.1;1.77;0.148
1915;301.4;1.77;0.148
1916;301.7;1.77;0.148
1917;302.1;1.77;0.148
1918;302.4;1.76;0.148
1919;302.7;1.76;0.148
1920;303;1.76;0.148
1921;303.4;1.76;0.148
1922;303.8;1.76;0.148
1923;304.1;1.75;0.148
1924;304.5;1.75;0.148
1925;305;1.75;0.148
1926;305.4;1.75;0.148
1927;305.8;1.75;0.148
1928;306.3;1.75;0.149
1929;306.8;1.74;0.149
1930;307.2;1.74;0.149
1931;307.7;1.74;0.149
1932;308.2;1.75;0.149
1933;308.6;1.75;0.149
1934;309;1.75;0.149
1935;309.4;1.76;0.149
1936;309.8;1.76;0.149
1937;310;1.76;0.149
1938;310.2;1.77;0.149
1939;310.3;1.77;0.149
1940;310.4;1.77;0.149
1941;310.4;1.8;0.149
1942;310.3;1.83;0.149
1943;310.2;1.86;0.149
1944;310.1;1.89;0.15
1945;310.1;1.92;0.15
1946;310.1;1.95;0.15
1947;310.2;1.98;0.15
1948;310.3;2.01;0.15
1949;310.5;2.04;0.15
1950;310.8;2.07;0.15
1951;311.1;2.12;0.15
1952;311.5;2.16;0.15
1953;311.9;2.21;0.15
1954;312.4;2.25;0.15
1955;313;2.3;0.15
1956;313.6;2.34;0.15
1957;314.2;2.39;0.15
1958;314.8;2.43;0.15
1959;315.5;2.48;0.15
1960;316.3;2.53;0.151
1961;317.1;2.53;0.151
1962;317.8;2.54;0.152
1963;318.4;2.54;0.152
1964;318.9;2.54;0.153
1965;319.6;2.55;0.153
1966;320.6;2.55;0.154
1967;321.6;2.56;0.155
1968;322.6;2.56;0.155
1969;323.9;2.57;0.156
1970;325;2.57;0.156
1971;325.9;2.63;0.157
1972;327.1;2.68;0.157
1973;328.7;2.73;0.158
1974;329.7;2.79;0.159
1975;330.6;2.84;0.159
1976;331.7;2.89;0.16
1977;333.3;2.95;0.16
1978;334.8;3;0.161
1979;336.5;3.05;0.161
1980;338.4;3.11;0.162
1981;339.7;3.12;0.162
1982;340.8;3.14;0.162
1983;342.2;3.15;0.162
1984;343.8;3.17;0.162
1985;345.3;3.18;0.162
1986;346.8;3.2;0.162
1987;348.6;3.21;0.162
1988;350.7;3.23;0.162
1989;352.5;3.25;0.162
1990;353.9;3.26;0.163
1991;355;3.22;0.165
1992;355.9;3.19;0.167
1993;356.8;3.15;0.169
1994;358.1;3.11;0.17
1995;359.8;3.08;0.172
1996;361.5;3.04;0.174
1997;363.2;3.01;0.176
1998;365.3;2.97;0.177
1999;567.3;2.93;0.179
2000;568.9;2.9;0.181
2001;570.5;2.91;0.183
2002;572.5;2.92;0.184
2003;574.8;2.93;0.18
2004;576.8;2.94;0.176
2005;578.8;2.95;0.2
2006;580.8;2.96;0.176
2007;582.8;2.97;0.201
2008;584.8;2.98;0.177
2009;587;2.99;0.184
2010;589.3;3;0.204
2011;591.6;3.04;0.164
2012;594;3.07;0.199
2013;596.5;3.11;0.169
2014;599;3.14;0.171
2015;601.6;3.18;0.183
2016;601.6;3.18;0.183
2017;601.6;3.18;0.183
2018;601.6;3.18;0.183
2019;601.6;3.18;0.183
2020;601.6;3.18;0.183
2021;601.6;3.18;0.183
2022;601.6;3.18;0.183
2023;601.6;3.18;0.183
2024;601.6;3.18;0.183
2025;601.6;3.18;0.183
2026;601.6;3.18;0.183
2027;601.6;3.18;0.183
2028;601.6;3.18;0.183
2029;601.6;3.18;0.183
2030;601.6;3.18;0.183
